step,train_loss,train_psnr,val_psnr_subset
500,0.04471587389707565,16.689184188842773,
1000,0.012868879362940788,22.40607452392578,
1500,0.026975378394126892,19.17970848083496,
2000,0.016809586435556412,21.132036209106445,
2500,0.011106951162219048,23.82313346862793,
3000,0.011344426311552525,23.11414909362793,
3500,0.009922785684466362,23.92146110534668,
4000,0.011123403906822205,23.13701820373535,
4500,0.01198495551943779,23.226083755493164,
5000,0.010355939157307148,24.332138061523438,
5500,0.010652698576450348,24.451261520385742,
6000,0.008184133097529411,25.369836807250977,
6500,0.009969295002520084,24.674240112304688,
7000,0.008934132754802704,24.97806167602539,
7500,0.007328197360038757,25.08243751525879,
8000,0.009223666973412037,24.58814811706543,
8500,0.00790969468653202,26.134592056274414,
9000,0.008017356507480145,24.814313888549805,
9500,0.005978256464004517,26.4438419342041,
10000,0.011508816853165627,23.712404251098633,25.753496170043945
10500,0.006923463195562363,26.13738250732422,
11000,0.0050229402258992195,26.578996658325195,
11500,0.005267668515443802,26.620132446289062,
12000,0.007426081225275993,25.383085250854492,
12500,0.007109138183295727,26.321731567382812,
13000,0.00814729742705822,25.40863800048828,
13500,0.007874957285821438,25.72187042236328,
14000,0.007607302162796259,25.710691452026367,
14500,0.004511259030550718,28.103654861450195,
15000,0.0069773439317941666,25.44992446899414,
15500,0.01004665158689022,24.2404727935791,
16000,0.006156309507787228,27.045516967773438,
16500,0.004865520633757114,26.703166961669922,
17000,0.006535985041409731,26.94369888305664,
17500,0.006375940982252359,27.45623207092285,
18000,0.011000297963619232,23.65885353088379,
18500,0.006372896954417229,27.801774978637695,
19000,0.006628237199038267,27.903757095336914,
19500,0.007133406586945057,25.2904109954834,
20000,0.005410018377006054,27.808225631713867,27.188583374023438
20500,0.005677798762917519,27.55061912536621,
21000,0.005002790130674839,28.111873626708984,
21500,0.006176306866109371,26.55620574951172,
22000,0.004686576314270496,27.67500114440918,
22500,0.004489175975322723,29.890792846679688,
23000,0.006175849586725235,27.85384750366211,
23500,0.004241559188812971,27.162036895751953,
24000,0.005309645086526871,27.12698745727539,
24500,0.005531180649995804,26.980533599853516,
25000,0.006337737198919058,26.60068702697754,
25500,0.006420576944947243,26.393461227416992,
26000,0.003545614192262292,29.951295852661133,
26500,0.005723361857235432,27.402008056640625,
27000,0.007335865404456854,26.134613037109375,
27500,0.006527589168399572,28.095806121826172,
28000,0.0030417731031775475,31.25011444091797,
28500,0.006477064453065395,27.054336547851562,
29000,0.004893650766462088,28.880586624145508,
29500,0.005631584674119949,27.72080421447754,
30000,0.007276354823261499,26.502803802490234,27.934350967407227
