step,train_loss,train_psnr,val_psnr_subset
500,0.03098115511238575,18.21091651916504,
1000,0.003086379962041974,28.57306480407715,
1500,0.0013592373579740524,32.795570373535156,
2000,0.0012033190578222275,35.596336364746094,
2500,0.00063274463173002,38.6749382019043,36.14723587036133
3000,0.0008887781295925379,36.47162628173828,
3500,0.0006995770963840187,37.907310485839844,
4000,0.0006014874670654535,41.4458122253418,
4500,0.0005439817905426025,39.776981353759766,
5000,0.0004623090790119022,39.471923828125,37.466922760009766
5500,0.0011469472665339708,35.999061584472656,
6000,0.000610101327765733,39.50929260253906,
6500,0.0009664113167673349,37.43068313598633,
7000,0.0009392922511324286,36.95526123046875,
7500,0.0003233028983231634,40.84370422363281,37.734130859375
8000,0.0006509495433419943,42.08417510986328,
8500,0.000586637353990227,39.361881256103516,
9000,0.00040438814903609455,41.71805953979492,
9500,0.000556803890503943,39.21879959106445,
10000,0.00041630599298514426,43.96366500854492,39.8124885559082
10500,0.0007871383568271995,40.1633415222168,
11000,0.0006270849844440818,40.050418853759766,
11500,0.00040625481051392853,41.92201614379883,
12000,0.0003778233367484063,43.07191848754883,
12500,0.00041995951323769987,43.07004165649414,40.261131286621094
13000,0.00032885055406950414,43.101417541503906,
13500,0.00031941549968905747,41.57289505004883,
14000,0.00034514552680775523,42.9478645324707,
14500,0.0003981390327680856,41.91168212890625,
15000,0.00040858419379219413,41.80621337890625,40.77202606201172
15500,0.00028776214458048344,42.285037994384766,
16000,0.0004773206892423332,40.01260757446289,
16500,0.00042869363096542656,42.74867248535156,
17000,0.0007581079262308776,38.18715286254883,
17500,0.00032064621336758137,43.85580062866211,40.53573989868164
18000,0.0003203802916686982,43.05537796020508,
18500,0.0005902030970901251,40.048213958740234,
19000,0.0005045548896305263,43.8197021484375,
19500,0.000387047155527398,42.29823684692383,
20000,0.0004471699066925794,40.71773910522461,41.95409393310547
20500,0.0005915309302508831,40.45965576171875,
21000,0.0003972122212871909,42.175880432128906,
21500,0.0002956110402010381,44.55618667602539,
22000,0.000466494559077546,41.541351318359375,
22500,0.0003340852272231132,42.41624450683594,40.340118408203125
23000,0.0002982162113767117,41.386680603027344,
23500,0.0002956737589556724,41.551822662353516,
24000,0.0003022311138920486,44.66839599609375,
24500,0.0003850019711535424,42.10581588745117,
25000,0.00031040795147418976,44.391048431396484,42.670562744140625
25500,0.0001756071433192119,46.4600830078125,
26000,0.0002335056778974831,44.43547821044922,
26500,0.0002333302836632356,46.065608978271484,
27000,0.000409824016969651,41.1999397277832,
27500,0.0002007151924772188,43.773590087890625,42.53407669067383
28000,0.0005400437512435019,41.770729064941406,
